entity,n,category,predicted occupation,title1,title2,title3,title4,title5,description1,description2,description3,description4,description5
Stewart Robertson,11,person,critic,Glen Kamara: Rangers director Stewart Robertson says alleged ...,East Robertson football coach Atlee Pond resigns after three ...,"Rangers administration, Steven Gerrard impact & selling Nathan ...",The Librarians Book by Stuart Robertson on artnet,Rangers managing director Stewart Robertson says Scottish ...,"Mar 30, 2021 ... Rangers managing director Stewart Robertson said the alleged racist abuse of Glen Kamara may be a tipping point for football authorities to ...","Jan 5, 2022 ... Donovan Stewart is entering his 26th season covering high school football and his 10th year of covering the entire state of Tennessee. He is ...","Feb 15, 2022 ... Watch our exclusive interview with Rangers' managing director Stewart Robertson as he reflects on the past decade at the Scottish ...","Artist: Stuart Robertson. (British, born 1962); Title: The Librarian's Book,. 2021; Medium: Works on paper, Vintage Drawing Instrument Box, Charcoal, ...","Nov 30, 2021 ... Stewart Robertson says Rangers close to turning a profit without need for player sales; Scottish champions reported a £23.5m operating loss ..."
Bob Smith,11,person,businessperson,Robert Smith - Senior Mechanical Engineer - EMP Consultants ...,Robert Smith | Obituaries | yankton.net,All Obituaries | Weicht Funeral Home | Angola IN funeral home and ...,"New Orleans man convicted of kidnapping, raping and robbing ...","Obituary of Robert F Smith | Mason Funeral Home serving Westfield, ...","View Robert Smith's profile on LinkedIn, the world's largest professional community. Robert has 2 jobs listed ... EMP ConsultantsTri State, Angola, Indiana.","Aug 12, 2021 ... Robert G. Smith, age 68, of Mission Hill, SD died unexpectedly on Tuesday, August 10, 2021 at the family farm.","She was born on April 13, 1936, in Angola, Indiana to Willard Ford and Bernice Marie (Heckman) Smith. She graduated from Angola High School in 1954.","Dec 20, 2017 ... Robert E. Smith, 42, was found guilty after a one-day judge trial in front of Orleans Parish Criminal District Court Judge Franz Zibilich.","Robert Smith, 93, of Forest Park, Westfield, NY passed away on Tuesday, ... West Seneca, NY, Super Duper (Burt Flickinger) Angola, NY and retired as a ..."
Jared Montz,11,person,military personnel,U.S. Military Fatal Casualties of the Vietnam War for Home-State-of ...,December 2018 Graduates | LSU Commencement,Polis announces state healthcare options for mental health ...,All-time Chicago Fire FC roster - Wikipedia,"Lynn University - Ranking, Programs, Acceptance Rate, Fees | USA",FRISBIE JARED ARTHUR. MARINE CORPS ... ANGOLA. ERIE. 19700603. Y. KEYES ARNELL. ARMY. PFC. 19440511. NEW YORK. KINGS. 19660304 ... MONTZ ROGER ELLIS.,"Angola; Argentina; Australia; Austria; Azerbaijan; Bahamas, The; Bangladesh; Belize ... Jared Clay Parker, Independence ... Payton Elise Bourgeois, Montz","Oct 12, 2021 ... Jared Polis announced a series of health care reforms Tuesday, ... Dr. Ellen Montz, deputy administrator for CMS and director of the Center ...",This list comprises all players who have participated in at least one league match for ... Angola · Jerson Monteiro · United States · Jared Montz †.,"In 2017, the university was honored for Most Promising Places to Work in Students Affairs. Lynn University Notable Alumni. Jared Montz (American soccer player), ..."
Samuel Brett Smith,11,person,economist,Key-Officers.pdf,Directory of Courts & Clerks in Indiana,Description of Innocence Cases | Death Penalty Information Center,Indiana Missing Person Bulletin | IN.gov,Erie County Sheriff's Office,"Angola. LUANDA (E) Rua Houari Boumedienne #32, 011-244-222-641-000, ... Sam Rahi. ECON. Kristin Stolt. EEO. Theresa M. Nielsen. EST. Brett Makens.","Samuel R. Keirns, Magistrate. 715 S. Calhoun Street ... Kathy K. Smith, Clerk. PO BOX 85. 20 E. Main Street ... Brett J. Neimeier, Judge.","Smith was sentenced to death for a street robbery and murder of a woman. ... was released from the Louisiana State Penitentiary at Angola on December 28, ...","May 3, 1983 ... DENNIS,SAMUEL B. 7/26/1971. FORT WAYNE POLICE DEPARTMENT. 10/7/2000 ... SMITH,DAMARIYAE SAOMONE. 10/8/2004. INDIANAPOLIS METROPOLITAN POLICE.","MARTIN, SAMUEL A. 07/09/1998. ECCF. 04/15/2022 ... RUSSELL, SAMUEL J. 12/18/2000. ECCF. 10/31/2021 ... SMITH, LAWRENCE C. 01/14/1984. ECCF. 09/29/2021."
Joao Laurenco,11,person,politician,João Lourenço - Wikipedia,Readout of National Security Advisor Jake Sullivan's Meeting with ...,Angola's João Lourenço - the man taking on Isabel dos Santos ...,Angola ruling party backs President Joao Lourenco for second term ...,Joao Lourenco: Can 'Angola's JLo' fill Dos Santos' shoes? - BBC News,"João Manuel Gonçalves Lourenço, GColIH (born 5 March 1954) is an Angolan politician who has served as the president of Angola since 26 September 2017.","Sep 20, 2021 ... National Security Advisor Jake Sullivan met today with Angolan President João Lourenço to reinforce the strong bilateral relations between ...","Jan 27, 2020 ... Who is João Lourenço? · Active in MPLA struggle against Portuguese colonial rule as a teenager · Part of first group of guerrillas to enter ...","Dec 11, 2021 ... Angola's governing party, which has held power for nearly half a century, has selected incumbent President Joao Lourenco as their candidate ...","Aug 25, 2017 ... Who is Joao Lourenco? · Active in MPLA struggle against Portuguese colonial rule as a teenager. · Part of first group of guerrillas to enter ..."
Mark Washburne,10,person,politician,"Freed from Angola, Morris County resident joins congressional race","Mark Steffen, C.P.M. - Retired - Retired | LinkedIn",Key-Officers.pdf,"Cynthia Jones, Math Teacher",Indiana Public Defender Membership Directory,"Apr 6, 2018 ... The 11th District spans parts of Essex, Morris, Passaic and Sussex counties. Running in the June primary election are: Democrats: Mark Washburne ...","Mark Steffen, C.P.M.. Purchasing / Material Control. RetiredTri-State University (now Trine University). Washburn, Tennessee, United States206 connections.","Angola. LUANDA (E) Rua Houari Boumedienne #32, 011-244-222-641-000,. Fax 011-244-222-641-232, INMARSAT Tel ... Chargé Mark Gitenstein ... Dustin C. Washburn.","Prior to coming to Washburn, I taught middle school in the district. I have a bachelor's degree from the University of Iowa as well as a Master's from the ...","Jun 23, 2021 ... Angola IN 46703. (260) 665-5717 ... The Law Office of Angel Marks. 7398 N. St. Rd. 3 ... rwashburn@washburn-law.com. Rude Alisa."
Donna Elbrecht,10,person,businessperson,About Us | Easterseals Arc of Northeast Indiana,Easterseals Arc northeast CEO receives award | Heraldrepublican ...,STEUBEN – Easterseals RISE | The Arc of Indiana,New RISE location ribbon cut | Heraldrepublican | kpcnews.com,ICEArc | The Arc of Indiana,Easterseals RISE in Angola. Angola. Started in basement of Pleasant Lake School in 1965 ... Donna Elbrecht. CEO. Thomas-Summerville. Thomas Summerville.,"Nov 17, 2020 ... FORT WAYNE — The Arc of Indiana honored Donna Elbrecht, ... Easterseals RISE maintains the Angola headquarters and facility while working to ...","1600 Wohlert St, Angola IN 46703. Phone: 260-665-9408 · Visit Website · Facebook Twitter Instagram. Donna Elbrecht. President/CEO. website builders ...","Feb 23, 2022 ... ANGOLA — The ribbon was cut to officially open Easterseals RISE's new ... Mayor Richard Hickman, Donna Elbrecht, Easterseals Arc CEO, ...","Donna Belusar, ADEC, Bristol ... Crystal Church-Stavitske, Easterseals Rise, Angola ... Donna Elbrecht, Easterseals Arc of Northeast Indiana, Fort Wayne"
Edgar Lungu,10,person,politician,List of international presidential trips made by Edgar Lungu ...,Edgar Lungu expected in Luanda Angola today | Club of Mozambique,Zambia begins granting Angolan refugees permanent ... - UNHCR,President Edgar Lungu in Angola - Patriotic Front - PF | Facebook,Zambia : President Edgar Lungu expected in Angola for Zimbabwe ...,"Edgar Lungu became president on 25 January 2015 following the death of predecessor Michael Sata, after the Zambian presidential election, 2015.","Oct 25, 2016 ... Zambia's President Edgar Lungu is today Wednesday October 26 expected in Luanda Angola to attend an extra ordinary United Nations Great ...","Dec 31, 2012 ... Zambia's Minister of Home Affairs, Edgar Lungu, granted the first three residency permits to Pinto, his wife and their daughter Filipa in a ...","Oct 26, 2016 ... Patriotic Front - PF is on Facebook. To connect with Patriotic Front - PF, join Facebook today. Join. or. Log In.","Nov 19, 2017 ... As President Lungu travels to Angola on Tuesday to attend the extraordinary organ troika and SADC summit on the political situation in Zimbabwe, ..."
Frank Charlton,10,person,politician,One county council seat now contested | Heraldrepublican ...,Find an Affiliate | NEIAOR,Election | kpcnews.com,2022 Steuben County Primary Election Results,STEUBEN COUNTY BOARD OF COMMISSIONERS,"Jan 19, 2022 ... ANGOLA — A race has materialized for the Republican nomination for the ... On Wednesday, former county department head Frank Charlton ...","Home Inspections by Frank Charlton Frank Charlton 7018 E 300 N Fremont, IN 46737 260-495-3579. Website: ... Angola, IN 46703 260-687-6056. Website:.","Denny Zent, R-Angola, for the House 51 seat in the Indiana House of Representatives. ... Frank Charlton. Apr 27, 2022; 0. 1. Frank Charlton, 69, Angola ...","May 3, 2022 ... ... which is currently held by Representative Denny Zent, R-Angola, ... 4 incumbent Republican Tony Isa was challenged by Frank Charlton, ...","317 South Wayne Street, Suite 2-H, Angola, Indiana 46703 ... 8:45 AM Frank Charlton – Building Department - re: Demolition of Unsafe Building/Bid. Opening."
Mariah Carey,10,person,critic,Mariah Carey accused of accepting 'dictator cash' for Angola concert ...,Human Rights Group Slams Mariah Carey for Concert in Angola ...,Mariah Carey celebrates Christmas with another dictator | Mariah ...,Mariah Carey Slammed by Human Rights Group for Collecting ...,Mariah Carey Performs For Angolan Dictator,"Dec 20, 2013 ... Human rights activists have accused Mariah Carey of accepting a $1m (£600,000) fee to play a concert for Angola's ""father-daughter ...","Dec 19, 2013 ... The Human Rights Foundation is criticizing Mariah Carey for her recent concert in Angola, calling the nation's president, José Eduardo dos ...","Dec 22, 2013 ... As Mariah was receiving the good news about her sales record, she was heading off to Angola to play a concert for President José Eduardo dos ...","Dec 20, 2013 ... Carey performed a two-hour concert at an event for the Angolan Red Cross this past Sunday and President José Eduardo dos Santos. Dos Santos, who ...","Dec 19, 2013 ... WASHINGTON — Legendary pop diva Mariah Carey performed for Angola's autocratic ruler José Eduardo dos Santos earlier this week, ..."
June Julien,10,person,businessperson,"June Julien - Angola, Indiana, United States | Professional Profile ...",June Julien's email & phone | Steuben County Tourism Bureau's ...,IBC: Steuben County,"Angola, Indiana",Emergence of the Asian lineage of Zika virus in Angola: an outbreak ...,"View June Julien's professional profile on LinkedIn. LinkedIn is the world's largest business network, helping professionals like June Julien discover ...","The Steuben County Tourism Bureau is headquartered in Angola, Indiana. They provide information and resources about Steuben County and everything it has to ...","Q&A with County Coordinator June Julien ... Steuben County Tourism Bureau; Kara Olson, Steuben County Tourism Bureau; Maria Davis, City of Angola ...",June Julien. Tina King. Michael Marturello. Jonathan Ringel. Brant Moore. Sharon Stroh. Ronald L. Smith. Ken Wilson. Melody Willibey. Craig Williams.,"Analyses of viral genomic and human mobility data suggest that Zika virus was probably introduced to Angola from Brazil between July, 2015, and June, 2016."
Joao Lourenzo,10,person,politician,João Lourenço - Wikipedia,Readout of National Security Advisor Jake Sullivan's Meeting with ...,A Conversation With President João Lourenço of Angola | Council ...,Angola ruling party backs President Joao Lourenco for second term ...,Angola's João Lourenço - the man taking on Isabel dos Santos ...,"João Manuel Gonçalves Lourenço, GColIH (born 5 March 1954) is an Angolan politician who has served as the president of Angola since 26 September 2017.","Sep 20, 2021 ... National Security Advisor Jake Sullivan met today with Angolan President João Lourenço to reinforce the strong bilateral relations between ...","Sep 23, 2019 ... CROCKER: Welcome to today's Council on Foreign Relations Meeting with President João Lourenço of Angola. I am Chester Crocker, professor of ...","Dec 11, 2021 ... Angola's governing party, which has held power for nearly half a century, has selected incumbent President Joao Lourenco as their candidate ...","Jan 27, 2020 ... Who is João Lourenço? · Active in MPLA struggle against Portuguese colonial rule as a teenager · Part of first group of guerrillas to enter ..."
Joao Louren,10,person,politician,João Lourenço - Wikipedia,Who is Angola′s new president Joao Lourenco? | Africa | DW ...,SQUIRE©,"Angola's President Lourenço, First Lady take COVID-19 vaccines ...",Received by NSD/FARA Registration Unit 08/31/2021 1:48:02 PM ...,"João Manuel Gonçalves Lourenço, GColIH (born 5 March 1954) is an Angolan politician who has served as the president of Angola since 26 September 2017.","Sep 26, 2017 ... Lourenco's push to the front was badly timed and he fell into disfavor for several years. The resilient politician. It took 10 years for ...","Oct 23, 2021 ... Invitation to Special Envoy Kerry from Government of Angola ... the attached letter on behalf of His Excellency Joao Louren$o, President of.","May 14, 2021 ... Angola's President João Lourenço and First Lady Ana Dias Lourenço received their first doses of the COVID-19 vaccine on Thursday as the ...","Aug 31, 2021 ... Subject: Meeting Request from the Angolan President ... The President of Angola, Joao Louren^o, is traveling to Washington, DC, in September ..."
Chris Stackhouse,10,person,businessperson,Christopher Stackhouse - Chief Habilitation Officer - Pathfinder ...,"RISE, Inc. – Non-Profit Directory for Steuben County",Therapeutic skating class honored with medals,"Lee Stackhouse Obituary (2009) - Fort Wayne, IN - Fort Wayne ...",Easterseals RISE merger complete July 1 | Latest | fwbusiness.com,"View Christopher Stackhouse's profile on LinkedIn, the world's largest professional community. ... Liked by Christopher Stackhouse ... RISE, Inc. Angola.","RISE, Inc. 1600 Wohlert Street Angola, IN 46703 RISE, Inc. is a nonprofit ... County in some way,” shared Chris Stackhouse, Executive Director of RISE, ...","Based in Angola, RISE works to promote the welfare or and foster ... James; Brandon; Arica; Chris Stackhouse, executive director at RISE; Cody; Greg; ...","Jan 12, 2009 ... LEE WAYNE STACKHOUSE, 68, of Fort Wayne, formerly of Barton Lake, ... Tim Stackhouse of Fort Wayne and Lee Allen (Chris) Stackhouse of ...","Jun 23, 2020 ... RISE Executive Director Chris Stackhouse and Donna Elbrecht, president and CEO of Easterseals Arc of Northeast Indiana, spoke at Angola ..."
Brian Cowen,9,person,politician,Cowen's 'Angola' quip claimed by PR man | The Sunday Times,Onward from 'Angola' – The Irish Times,Homelessness has succeeded health as the 'Angola' of Irish ...,Brian Cowen - Wikipedia,Primer ministro de Irlanda pide voto de confianza en el Gobierno ...,"Mar 13, 2005 ... It was one of the Irish political establishment's favourite bon mots. Cowen, now the finance minister, was said to have been so disenchanted ...","Mar 21, 2002 ... Minister for Foreign Affairs, Brian Cowen ... Now he is responsible for Irish policy towards the real Angola, with the rest of the world ...","Sep 15, 2018 ... As the story goes, former Taoiseach Brian Cowen once famously described the Department of Health as 'Angola' due to the number of unexploded ...",Brian Bernard Cowen (born 10 January 1960) is an Irish former politician who served as Taoiseach and Leader of Fianna Fáil from 2008 to 2011.,"Jan 16, 2011 ... El primer ministro irlandés, Brian Cowen, no renunciará a su cargo como jefe del gobernante partido Fianna Fail y ofrecerá a cambio a sus ..."
Malcolm Alexander,9,person,lawyer,Malcolm Alexander exonerated after 38 years in Louisiana's Angola ...,Man exonerated after 38 years goes home with prison dog he raised,"A Mistaken Identification Sent Him to Prison for 38 Years, But He ...","The Innocence Project on Twitter: ""Angola Prison, where Malcolm ...","Freed after almost 38 years, Jefferson Parish man embraces family ...",Malcolm Alexander · Time Served: 38 years · Ineffective trial lawyer and flawed eyewitness identification procedure destroyed the lives of Malcolm Alexander and ...,"Feb 21, 2018 ... Malcolm Alexander spent decades in prison for a crime he didn't commit. With the Innocence Project's help, he went home — along with a dog named ...","Sep 17, 2021 ... Malcolm Alexander was sentenced to life in prison for a crime he ... On that first morning at Angola, as Malcolm marched to the cotton field ...","Feb 26, 2022 ... Angola Prison, where Malcolm Alexander and several Innocence Project and. @_ipno_. clients were wrongly imprisoned, was built on a former ...","Malcolm Alexander was just 20 years old when he was wrongfully convicted of aggravated rape and sent to Angola to serve a life sentence, leaving behind his ..."
Kia Hayes,9,person,lawyer,Exclusive: Eric Prudholm says DNA testing is a blessing after ...,Innocence Project New Orleans (IPNO) - Freeing Innocent Prisoners,The American Legion a U.S. Veterans Association,DNA clears man who's spent 37 years behind bars for a Bossier City ...,"Buy Here Pay Here Cars, Trucks, & SUVs | Serving Indiana ...","Jan 16, 2019 ... Eric Prudholm and family at Angola. ... His lawyer, Kia Hayes from Innocent Project New Orleans, said the first DNA exoneration was 8 years ...","... natural lives at hard labor in custody of the Louisiana State Penitentiary at Angola, without benefit of parole, probation, or suspension of sentence.",The American Legion is the nation's largest wartime veterans service organization aimed at advocating patriotism across the U.S. through diverse programs ...,"Jan 9, 2019 ... Erica Prudholm, Eric Prudholm and Aiiko Pettway at Angola. ... Kia Hayes, IPNO's staff attorney, added: “I look forward to seeing Mr.",Since 1975 Superior Auto has helped customers who have had problems obtaining auto financing drive away in a newer vehicle. Apply online now and Drive Your ...
Sindika Dokolo,9,person,businessperson,Sindika Dokolo - Wikipedia,"Sindika Dokolo, Crusader for Return of African Art, Dies at 48 - The ...",Sindika Dokolo: Husband of Angola's Isabel dos Santos convicted of ...,"Angola: Isabel dos Santos's husband, Sindika Dokolo, dies in accident",Sindika Dokolo Dead: Leading African Collector Dies in Diving ...,Sindika Dokolo (16 March 1972 – 29 October 2020) was a Congolese art collector and businessman. He owned one of the most important contemporary African art ...,"Nov 11, 2020 ... He started a campaign to repatriate art stolen or removed during the colonial era. This year, he and his billionaire Angolan wife were ...","Jul 14, 2017 ... The son-in-law of Angola's president has been sentenced to jail for fraud in the Democratic Republic of Congo. Businessman Sindika Dokolo ...","Oct 30, 2020 ... The Democratic Republic of Congo-born businessman and art collector Sindika Dokolo died on 29 October in a diving accident.","Oct 30, 2020 ... Sindika Dokolo, a key African art collector who earlier this year faced widespread allegations of corruption, has died at 48."
William Carmichael,9,person,judge,Angola inmate refuses to speak in court | Baker | theadvocate.com,LAND MINES IN ANGOLA,Angola assistant warden charged with rape,Judge rejects bid from Angola Three's Albert Woodfox after 40 years ...,'Dexter' Murderer Goes To Angola - The American Conservative,"Mar 13, 2013 ... Wiley stood in silence before 20th Judicial District Judge William G. Carmichael Thursday and refused to give his name. “Is Mr. Wiley deaf?","Oct 25, 1990 ... Africa Watch is William Carmichael. Alice Brown is the vice chair. Janet. Fleischman and Karen Sorensen are research associates.","An arrest warrant was filed Dec. 20 and Boeker turned himself in soon after, authorities said. Judge William G. Carmichael set the bond at $200,000. Boeker is ...","Sep 21, 2015 ... Judge William Carmichael also ruled that the trial against Albert ... the Louisiana State Penitentiary at Angola as well as other prisons.","Aug 23, 2013 ... Twentieth Judicial District Judge William G. Carmichael concluded the hearing Thursday by sentencing Reese, now 20, to life in prison ..."
Alcides Sakala,9,person,politician,Alcides Sakala Simões - Wikipedia,Alcides Sakala Simões - Wikidata,Angola: Alcides Sakala | ONU News,SDNT Blocked Pending Investigations; SDGT updates; UNITA ...,From bombs to beats: how Nazar summed up the sound of Angola ...,Alcides Sakala Simões (born 23 December 1953) is an Angolan politician for UNITA and a member of the National Assembly of Angola.,Alcides Sakala Simões. Angolan politician. Alcides Sakala. In more languages. Spanish. Alcides Sakala Simões. político angoleño. Traditional Chinese.,"Angola: Alcides Sakala. 23 abril 2012. Alcides Sakala, escritor e diplomata angolano, iniciou-se na aventura da leitura nos anos de escola primária.","May 8, 2003 ... ... POB Bailundo, Huambo Province, Angola (individual) [UNITA]. SAKALA, Alcides (a.k.a. SIMOES, Alcides Sakala; a.k.a. TCHACALA, Alcides), ...","Mar 13, 2020 ... The perkiest song on Guerrilla, the debut album by the Angolan artist ... On Diverted, Nazar's father, Alcides Sakala Simões, reads from his ..."
Jim Burns,9,person,lawyer,Burns named Steuben County magistrate | Heraldrepublican ...,James W. Burns Attorney At Law – Best Family Law Attorneys Near ...,Elected Officials,"James W. Burns - Lawyer in Angola, Indiana (IN) Steuben County ...",James W. Burns Attorney At Law - Home | Facebook,"Dec 9, 2020 ... James Burns will begin serving as the magistrate for the Steuben County courts in January. ... ANGOLA — Angola attorney Jim Burns was hired this ...","James W. Burns Attorney At Law · 213 W Maumee St, Angola IN, 46703 · Call now: (260) 665-6611 · jamesburnsattorneyatlaw.com · Unclaimed ...","Jim Getz, Vice President Lisa Aldrich Ruth Beer Dan Caruso ... Magistrate: James Burns · Prosecuting Attorney: Jeremy Musser ... Surveyor: Jim Slabaugh","James W. Burns is a Lawyer with Burns Law Office, a Law Firm in Angola, Indiana. James W. Burns.","Since 1985, we've provided quality legal representation to those facing criminal charges. James W.... 213 W Maumee St., Angola, IN 46703."
Lawnie Mike Mcclelland,9,person,businessperson,Lawnie "Mike" McClelland - Pleasant Township Trustee - Pleasant ...,History — Steuben County Sheriff's Office,Township Trustees - Project Help of Steuben County,Township races decided Tuesday; Hamilton adds to board ...,ANGOLA JANE DOE IDENTIFIED AS TINA LEN CABANAW Our ...,"View Lawnie ""Mike"" McClelland's profile on LinkedIn, the world's largest professional community. ... Angola, Indiana, United States112 connections.","... and the new cell facilities in 1971, has stood for 121 years on South Wayne Street in Angola. ... Lawnie “Mike” McClelland: 1991-1998","Mike McClelland. P. O. Box 1096. Angola, IN 46703. (260) 833-6898 or pttrustee@hotmail.com. Richland Twp. Barbara Cleverly. 2572 S 800 E. Angola, IN 46703.","Nov 7, 2018 ... In the county's largest township, former Steuben County Sheriff and Angola Common Councilman Lawnie “Mike” McClelland was unopposed for ...","ANGOLA Indiana — When Jessica Gallegos started receiving messages from a ... run by Trustee Lawnie “Mike” McClelland, has agreed to use township funds to ..."
David Alexandra,9,person,military personnel,Key-Officers.pdf,Alexandra D'Angola Fetzko - Director of Legislative Affairs ...,"Patricia Martin Obituary (1929 - 2019) - Angola, IN - KPCNews",Atlantic History and the Slave Trade to Spanish America,David Ballinger | Obituary | Herald Bulletin,"Angola. LUANDA (E) Rua Houari Boumedienne #32, 011-244-222-641-000, ... Alex Kim. ISSO. Frank Matsuzaki. SAO PAULO (CG) Rua Henri Dunant, 700, Chacara Santo ...","View Alexandra D'Angola Fetzko's profile on LinkedIn, the world's largest professional community. Alexandra has 7 jobs listed on their profile.","Aug 8, 2019 ... ANGOLA - Patricia L. Martin, 90, of Angola, Indiana, ... Trevor David Martin, Alexandra Rae Martin, Andrea Nicole Martin, Natalie Louise ...","Alex Borucki, David Eltis, and David Wheat. AMERICAN HISTORICAL REVIEW ... Guinea and Angola through to the mid-seventeenth century, when the direct link.","Jan 28, 2015 ... ANGOLA - David Edwin ""Bal"" Ballinger, 67, Angola, passed away Jan. ... one niece and family, Dawn Jackson, Alexandra and Tyler Jackson; ..."
Artur Pereira,9,person,businessperson,Artur Pereira | Angola LNG | Angola,First Angola LNG cargo delivered - Angola LNG,Artur Pereira's email & phone | Angola LNG Marketing's President ...,UPDATE 2-Angola LNG returns to global market with first post ...,Angola LNG sells natural gas to Electricite de France (EDF) group,"Artur Pereira is CEO of Angola LNG Marketing Ltd, a company based in London, responsible for the global marketing of LNG from the 5.2 mtpa Angola LNG plant ...","Commenting on the first cargo delivery Artur Pereira, CEO, Angola LNG Marketing Ltd. said: ""Our main priority is safe and reliable production and delivery ...","Artur Pereira's email address a******@gmail.com 832-858-. ... President, CEO @ Angola LNG Marketing; Director, Business Development @ Sonangol Gas Natural ...","Jun 6, 2016 ... Up to six more cargoes may be offered by Angola -trader (Adds company ... Artur Pereira, chief executive of Angola LNG Marketing said.","Mar 31, 2016 ... Artur Pereira, CEO of Angola LNG Marketing Ltd, is quoted in the statement saying that this contract is “an important milestone for the ..."
Greg Kenner,9,person,lawyer,Angola woman admits to sex with student | | kpcnews.com,Same Kind of Different as Me movie review (2017) | Roger Ebert,LaGrange man convicted in beating death | Local News ...,Prosecution wraps up murder case | News Sun | kpcnews.com,Four contestants vie for Miss LaGrange County title,ANGOLA — A former teacher pleaded guilty Tuesday to sexual activity with a 14-year-old boy in the fall of ... represented by special prosecutor Greg Kenner.,"Oct 20, 2017 ... ... “Same Kind of Different as Me” is the true story of a wealthy Texas white couple, Ron and Debbie (Greg Kinnear and Renee Zellweger), ...","Sep 19, 2018 ... ... said LaGrange County Prosecutor Greg Kenner. ... filed against Combs following the death of Clayton Rust, 33, Angola in October 2016, ...","Sep 15, 2018 ... ... accused of beating an Angola man so savagely that the man died ... Prosecutor Greg Kenner had Archuletta describe her findings using a ...","Jul 6, 2016 ... She is the daughter of James and Carrie Lowe of Angola and is sponsored by Gregory Kenner, LaGrange County Prosecutor and the LaGrange ..."
Karen Guillot,9,person,politician,Diplomatic List,Summer and Fall Sunflower Burlap Door Hanger Decoration | Etsy,Disciplinary Actions...,Provisional list of participants (COP 26),"INTERNATIONAL TERRORISM, INSURGENCY, AND DRUG ...","EMBASSY OF THE REPUBLIC OF ANGOLA. Chancery: 2100-2108 16TH STREET, ... KAREN LEE INGRAM HALL. MINISTER COUNSELOR (DEVELOPMENT) ... MORGANE GUILLOT. ATTACHE ...",Listing review by KAREN GUILLOT. I finally received. The seller shipped as promised. It was held at shipping forever. Seller refunded money.,"22 Main Street Angola LA, 70712 ... Richard J. Guillot, MD License No. MD.020599 July 19, 2018 ... Karen Paul Holley, MD License No. MD.201184 June 02, 2015","Oct 31, 2021 ... Presidency of the Republic of Angola. Presidency of the Republic of Angola ... H.E. Ms. Karen-Mae Hill ... M. Pierre Guillot.","Guillot-Lara received assistance in his drug smuggling ... Karens, but are not involved in producing or transporting heroin). ... ren to Angola."
Tim Crooks,9,person,businessperson,Tim Crooks - Retired - City of Angola | LinkedIn,"Hundreds gather, march for Take Back the Night",30+ "Tim Crooks" profiles | LinkedIn,Alleged Meijer robber carried out detailed plan|Owned Michigan fast ...,Leadership Team | cahootscoffeecafe,"View Tim Crooks' profile on LinkedIn, the world's largest professional community. Tim has 1 job listed on their profile. See the complete profile on ...","At right: Michelle Ditton, director of the Fort Wayne Sexual Assault Treatment Center, hugs Detective Tim Crooks of the Angola Police Department during the ...","View the profiles of professionals named ""Tim Crooks"" on LinkedIn. There are 30+ professionals named ""Tim Crooks"", ... City of Angola. Tri-State University ...","Sep 26, 2007 ... ... of Steuben County as a part of an escape route, a probable cause affidavit filed in the case by Angola Police Detective Tim Crooks said.",Amy Oberlin is the news editor at The Herald Republican in Angola. ... Tim is a Director of Cahoots Coffee Cafe. Board of Directors. Timothy Crooks.
Heather Hood,9,person,lawyer,"Lee v. La. Dep't of Pub. Safety & Corr., 240 So. 3d 244 | Casetext ...",A Living Death—Life without Parole for Nonviolent Offenses,Lux Hood – Heather Grey – Sour Solution,Man cleared by DNA leaves Louisiana prison after 37 years | AP News,Indiana Missing Person Bulletin | IN.gov,"Dec 21, 2017 ... Terri L. Cannon, Angola, Louisiana, Heather Hood, Baton Rouge, LA, Counsel for Defendant/Appellant Louisiana Department of Public Safety and ...","Alexander was a patient in the Angola hospice program who later succumbed to ... He admits he is not an angel and says that growing up in the “hood,” he ...",Lux Hood Heather Grey Chest Embroidery 80% Cotton 20% Polyester Made in Europe.,"Jan 10, 2019 ... Park's office said she was there when he walked free from Angola about 11:30 a.m. Thursday. Heather Hood, an attorney for the state ...","May 3, 1983 ... BISHOP,HEATHER. 9/24/1976. INDIANAPOLIS METROPOLITAN POLICE. DEPARTMENT MISSING. 5/10/2021. BLACK,AUTUMN AMNIAH. 6/2/2005."
Joseph Kabila,9,person,critic,"Angola shifts tone on Congo, deepening Kabila's isolation | Reuters",Jose Eduardo dos Santos: Angola's shy president - BBC News,Congo's Joseph Kabila will not seek election for a third term | CNN,Southern Africa Group to Meet About DRC Stability,How Kabila lost his way: The performance of Laurent Désiré Kabila's ...,"Jun 20, 2017 ... NAIROBI/KINSHASA (Reuters) - A change of tone in Angola's relationship with longtime ally Congo has left Congolese President Joseph Kabila ...","Aug 29, 2012 ... A profile of Angola's President Jose Eduardo dos Santos, Africa's second-longest serving head of state , who has turned 70 days before an ...","Aug 8, 2018 ... Democratic Republic of Congo's President Joseph Kabila pictured at a meeting with his Angola's counterpart on January 19, 2015 in Kinshasa.","Apr 23, 2018 ... A government official told VOA that President Joseph Kabila instead would send Prime Minister Bruno Tshibala to the meeting in Luanda, Angola's ...","May 21, 1999 ... The current phase of conflict in Congo started in 1996 when Congolese Tutsi, Rwandan and Ugandan military forces (later joined by Angola) ..."
